country1,country2,games,wins,looses,draws
Uruguay,Mexico,22,0.318181818,0.363636364,0.318181818
Mexico,Wales,5,0.4,0.2,0.4
Wales,Mexico,5,0.2,0.4,0.4
Morocco,Croatia,1,0,0,1
Croatia,Morocco,1,0,0,1
Morocco,Netherlands,3,0.333333333,0.666666667,0
Netherlands,Morocco,3,0.666666667,0.333333333,0
Morocco,Poland,4,0.25,0.25,0.5
Poland,Morocco,4,0.25,0.25,0.5
Morocco,Qatar,2,0.5,0,0.5
Qatar,Morocco,2,0,0.5,0.5
Morocco,Saudi Arabia,7,0.428571429,0.428571429,0.142857143
Saudi Arabia,Morocco,7,0.428571429,0.428571429,0.142857143
Morocco,Senegal,29,0.620689655,0.206896552,0.172413793
Senegal,Morocco,29,0.206896552,0.620689655,0.172413793
Morocco,South Korea,4,0.25,0,0.75
South Korea,Morocco,4,0,0.25,0.75
Morocco,Spain,3,0,0.666666667,0.333333333
Spain,Morocco,3,0.666666667,0,0.333333333
Morocco,Switzerland,2,1,0,0
Switzerland,Morocco,2,0,1,0
Morocco,Tunisia,38,0.263157895,0.157894737,0.578947368
Tunisia,Morocco,38,0.157894737,0.263157895,0.578947368
Morocco,Uruguay,1,0,1,0
Uruguay,Morocco,1,1,0,0
Netherlands,Costa Rica,1,0,0,1
Costa Rica,Netherlands,1,0,0,1
Netherlands,Ecuador,2,0.5,0,0.5
Ecuador,Netherlands,2,0,0.5,0.5
Netherlands,Ghana,3,0.666666667,0,0.333333333
Ghana,Netherlands,3,0,0.666666667,0.333333333
Netherlands,Japan,3,0.666666667,0,0.333333333
Japan,Netherlands,3,0,0.666666667,0.333333333
Netherlands,Poland,18,0.444444444,0.166666667,0.388888889
Poland,Netherlands,18,0.166666667,0.444444444,0.388888889
Netherlands,Portugal,14,0.142857143,0.571428571,0.285714286
Portugal,Netherlands,14,0.571428571,0.142857143,0.285714286
Netherlands,Saudi Arabia,1,1,0,0
Saudi Arabia,Netherlands,1,0,1,0
Netherlands,Serbia,3,1,0,0
Serbia,Netherlands,3,0,1,0
Netherlands,South Korea,2,1,0,0
South Korea,Netherlands,2,0,1,0
Netherlands,Spain,12,0.5,0.333333333,0.166666667
Spain,Netherlands,12,0.333333333,0.5,0.166666667
Netherlands,Switzerland,32,0.4375,0.46875,0.09375
Switzerland,Netherlands,32,0.46875,0.4375,0.09375
Netherlands,Wales,10,1,0,0
Wales,Netherlands,10,0,1,0
Poland,Australia,1,0,1,0
Australia,Poland,1,1,0,0
Poland,Cameroon,3,0,0.333333333,0.666666667
Cameroon,Poland,3,0.333333333,0,0.666666667
Poland,Portugal,13,0.230769231,0.384615385,0.384615385
Portugal,Poland,13,0.384615385,0.230769231,0.384615385
Poland,Saudi Arabia,4,1,0,0
Saudi Arabia,Poland,4,0,1,0
Poland,Senegal,1,0,1,0
Senegal,Poland,1,1,0,0
Poland,Serbia,7,0.571428571,0,0.428571429
Serbia,Poland,7,0,0.571428571,0.428571429
Poland,South Korea,3,0.333333333,0.333333333,0.333333333
South Korea,Poland,3,0.333333333,0.333333333,0.333333333
Poland,Spain,11,0.090909091,0.727272727,0.181818182
Spain,Poland,11,0.727272727,0.090909091,0.181818182
Poland,Switzerland,10,0.4,0.1,0.5
Switzerland,Poland,10,0.1,0.4,0.5
Poland,Tunisia,3,0.666666667,0.333333333,0
Tunisia,Poland,3,0.333333333,0.666666667,0
Poland,Uruguay,4,0.25,0.25,0.5
Uruguay,Poland,4,0.25,0.25,0.5
Poland,Wales,9,0.666666667,0.111111111,0.222222222
Wales,Poland,9,0.111111111,0.666666667,0.222222222
Portugal,Cameroon,2,1,0,0
Cameroon,Portugal,2,0,1,0
Portugal,Ghana,1,1,0,0
Ghana,Portugal,1,0,1,0
Portugal,Morocco,2,0.5,0.5,0
Morocco,Portugal,2,0.5,0.5,0
Portugal,Qatar,2,1,0,0
Qatar,Portugal,2,0,1,0
Portugal,Saudi Arabia,2,1,0,0
Saudi Arabia,Portugal,2,0,1,0
Portugal,Serbia,8,0.375,0.125,0.5
Serbia,Portugal,8,0.125,0.375,0.5
Portugal,Spain,40,0.2,0.375,0.425
Spain,Portugal,40,0.375,0.2,0.425
Portugal,Switzerland,25,0.36,0.44,0.2
Switzerland,Portugal,25,0.44,0.36,0.2
Portugal,Tunisia,2,0,0,1
Tunisia,Portugal,2,0,0,1
Portugal,Uruguay,3,0.333333333,0.333333333,0.333333333
Uruguay,Portugal,3,0.333333333,0.333333333,0.333333333
Portugal,Wales,4,0.75,0.25,0
Wales,Portugal,4,0.25,0.75,0
Qatar,Argentina,2,0,1,0
Argentina,Qatar,2,1,0,0
Qatar,Ecuador,3,0.333333333,0.333333333,0.333333333
Ecuador,Qatar,3,0.333333333,0.333333333,0.333333333
Qatar,Saudi Arabia,39,0.205128205,0.435897436,0.358974359
Saudi Arabia,Qatar,39,0.435897436,0.205128205,0.358974359
Qatar,Serbia,3,0.333333333,0.666666667,0
Serbia,Qatar,3,0.666666667,0.333333333,0
Qatar,South Korea,10,0.3,0.6,0.1
South Korea,Qatar,10,0.6,0.3,0.1
Qatar,Tunisia,3,0.666666667,0.333333333,0
Tunisia,Qatar,3,0.333333333,0.666666667,0
Qatar,Wales,1,0,1,0
Wales,Qatar,1,1,0,0
Saudi Arabia,Denmark,3,0,1,0
Denmark,Saudi Arabia,3,1,0,0
Saudi Arabia,Ghana,5,0.2,0.4,0.4
Ghana,Saudi Arabia,5,0.4,0.2,0.4
Saudi Arabia,Senegal,2,1,0,0
Senegal,Saudi Arabia,2,0,1,0
Saudi Arabia,South Korea,16,0.25,0.25,0.5
South Korea,Saudi Arabia,16,0.25,0.25,0.5
Saudi Arabia,Spain,3,0,1,0
Spain,Saudi Arabia,3,1,0,0
Saudi Arabia,Tunisia,8,0.375,0.5,0.125
Tunisia,Saudi Arabia,8,0.5,0.375,0.125
Saudi Arabia,Uruguay,3,0.333333333,0.333333333,0.333333333
Uruguay,Saudi Arabia,3,0.333333333,0.333333333,0.333333333
Saudi Arabia,Wales,1,0,1,0
Wales,Saudi Arabia,1,1,0,0
Senegal,Tunisia,19,0.210526316,0.473684211,0.315789474
Tunisia,Senegal,19,0.473684211,0.210526316,0.315789474
Senegal,Uruguay,1,0,0,1
Uruguay,Senegal,1,0,0,1
Serbia,Cameroon,1,1,0,0
Cameroon,Serbia,1,0,1,0
Serbia,Iran,1,1,0,0
Iran,Serbia,1,0,1,0
Serbia,Morocco,1,0,1,0
Morocco,Serbia,1,1,0,0
Serbia,South Korea,9,0.333333333,0.222222222,0.444444444
South Korea,Serbia,9,0.222222222,0.333333333,0.444444444
Serbia,Spain,6,0,0.5,0.5
Spain,Serbia,6,0.5,0,0.5
Serbia,Switzerland,5,0.2,0.2,0.6
Switzerland,Serbia,5,0.2,0.2,0.6
Serbia,Uruguay,2,0.5,0,0.5
Uruguay,Serbia,2,0,0.5,0.5
Serbia,Wales,6,0.666666667,0,0.333333333
Wales,Serbia,6,0,0.666666667,0.333333333
South Korea,Cameroon,4,0.5,0,0.5
Cameroon,South Korea,4,0,0.5,0.5
South Korea,England,1,0,0,1
England,South Korea,1,0,0,1
South Korea,Portugal,1,1,0,0
Portugal,South Korea,1,0,1,0
South Korea,Senegal,5,0.2,0.6,0.2
Senegal,South Korea,5,0.6,0.2,0.2
South Korea,Spain,6,0,0.666666667,0.333333333
Spain,South Korea,6,0.666666667,0,0.333333333
South Korea,Switzerland,2,0.5,0.5,0
Switzerland,South Korea,2,0.5,0.5,0
South Korea,Tunisia,2,0,0.5,0.5
Tunisia,South Korea,2,0.5,0,0.5
South Korea,Uruguay,8,0.125,0.75,0.125
Uruguay,South Korea,8,0.75,0.125,0.125
Spain,Japan,1,1,0,0
Japan,Spain,1,0,1,0
Spain,Switzerland,24,0.708333333,0.041666667,0.25
Switzerland,Spain,24,0.041666667,0.708333333,0.25
Spain,Tunisia,2,1,0,0
Tunisia,Spain,2,0,1,0
Spain,Uruguay,10,0.5,0,0.5
Uruguay,Spain,10,0,0.5,0.5
Spain,Wales,6,0.5,0.166666667,0.333333333
Wales,Spain,6,0.166666667,0.5,0.333333333
Switzerland,Australia,1,0,0,1
Australia,Switzerland,1,0,0,1
Switzerland,Canada,1,0,1,0
Canada,Switzerland,1,1,0,0
Switzerland,Costa Rica,3,0.333333333,0.333333333,0.333333333
Costa Rica,Switzerland,3,0.333333333,0.333333333,0.333333333
Switzerland,Ecuador,1,1,0,0
Ecuador,Switzerland,1,0,1,0
Switzerland,Qatar,1,0,1,0
Qatar,Switzerland,1,1,0,0
Switzerland,Uruguay,3,0,0.666666667,0.333333333
Uruguay,Switzerland,3,0.666666667,0,0.333333333
Switzerland,Wales,8,0.625,0.25,0.125
Wales,Switzerland,8,0.25,0.625,0.125
Tunisia,Brazil,1,0,1,0
Brazil,Tunisia,1,1,0,0
Tunisia,Canada,1,1,0,0
Canada,Tunisia,1,0,1,0
Tunisia,Costa Rica,1,1,0,0
Costa Rica,Tunisia,1,0,1,0
Tunisia,Netherlands,3,0,0.333333333,0.666666667
Netherlands,Tunisia,3,0.333333333,0,0.666666667
Tunisia,Serbia,2,0,1,0
Serbia,Tunisia,2,1,0,0
Tunisia,Switzerland,3,0,0.666666667,0.333333333
Switzerland,Tunisia,3,0.666666667,0,0.333333333
Tunisia,Uruguay,1,0,0,1
Uruguay,Tunisia,1,0,0,1
Tunisia,Wales,1,1,0,0
Wales,Tunisia,1,0,1,0
Uruguay,Ghana,1,0,0,1
Ghana,Uruguay,1,0,0,1
Uruguay,Iran,1,0,0,1
Iran,Uruguay,1,0,0,1
Uruguay,Netherlands,4,0.25,0.5,0.25
Netherlands,Uruguay,4,0.5,0.25,0.25
Wales,Australia,1,0,1,0
Australia,Wales,1,1,0,0
Wales,Costa Rica,2,0.5,0.5,0
Costa Rica,Wales,2,0.5,0.5,0
Wales,Uruguay,2,0,0.5,0.5
Uruguay,Wales,2,0.5,0,0.5
