country1,country2,games,wins,looses,draws
Belgium,Saudi Arabia,3,0.666666667,0.333333333,0
Saudi Arabia,Belgium,3,0.333333333,0.666666667,0
Belgium,Serbia,6,0.5,0.333333333,0.166666667
Serbia,Belgium,6,0.333333333,0.5,0.166666667
Belgium,South Korea,4,0.75,0,0.25
South Korea,Belgium,4,0,0.75,0.25
Belgium,Spain,21,0.19047619,0.523809524,0.285714286
Spain,Belgium,21,0.523809524,0.19047619,0.285714286
Belgium,Switzerland,30,0.5,0.3,0.2
Switzerland,Belgium,30,0.3,0.5,0.2
Belgium,Tunisia,4,0.5,0.25,0.25
Tunisia,Belgium,4,0.25,0.5,0.25
Belgium,Uruguay,2,1,0,0
Uruguay,Belgium,2,0,1,0
Belgium,Wales,16,0.375,0.3125,0.3125
Wales,Belgium,16,0.3125,0.375,0.3125
Brazil,Cameroon,6,0.833333333,0.166666667,0
Cameroon,Brazil,6,0.166666667,0.833333333,0
Brazil,Canada,4,0.5,0,0.5
Canada,Brazil,4,0,0.5,0.5
Brazil,Costa Rica,11,0.909090909,0.090909091,0
Costa Rica,Brazil,11,0.090909091,0.909090909,0
Brazil,Croatia,4,0.75,0,0.25
Croatia,Brazil,4,0,0.75,0.25
Brazil,Denmark,4,0.75,0.25,0
Denmark,Brazil,4,0.25,0.75,0
Brazil,Ecuador,34,0.764705882,0.058823529,0.176470588
Ecuador,Brazil,34,0.058823529,0.764705882,0.176470588
Brazil,England,26,0.423076923,0.153846154,0.423076923
England,Brazil,26,0.153846154,0.423076923,0.423076923
Brazil,France,16,0.4375,0.3125,0.25
France,Brazil,16,0.3125,0.4375,0.25
Brazil,Germany,23,0.565217391,0.217391304,0.217391304
Germany,Brazil,23,0.217391304,0.565217391,0.217391304
Brazil,Ghana,4,1,0,0
Ghana,Brazil,4,0,1,0
Brazil,Japan,13,0.846153846,0,0.153846154
Japan,Brazil,13,0,0.846153846,0.153846154
Brazil,Mexico,41,0.585365854,0.243902439,0.170731707
Mexico,Brazil,41,0.243902439,0.585365854,0.170731707
Brazil,Morocco,2,1,0,0
Morocco,Brazil,2,0,1,0
Brazil,Netherlands,12,0.25,0.333333333,0.416666667
Netherlands,Brazil,12,0.333333333,0.25,0.416666667
Brazil,Poland,12,0.75,0.083333333,0.166666667
Poland,Brazil,12,0.083333333,0.75,0.166666667
Brazil,Portugal,21,0.666666667,0.19047619,0.142857143
Portugal,Brazil,21,0.19047619,0.666666667,0.142857143
Brazil,Qatar,1,1,0,0
Qatar,Brazil,1,0,1,0
Brazil,Saudi Arabia,5,1,0,0
Saudi Arabia,Brazil,5,0,1,0
Brazil,Senegal,1,0,0,1
Senegal,Brazil,1,0,0,1
Brazil,Serbia,5,0.8,0,0.2
Serbia,Brazil,5,0,0.8,0.2
Brazil,South Korea,7,0.857142857,0.142857143,0
South Korea,Brazil,7,0.142857143,0.857142857,0
Brazil,Spain,9,0.555555556,0.222222222,0.222222222
Spain,Brazil,9,0.222222222,0.555555556,0.222222222
Brazil,Switzerland,9,0.333333333,0.222222222,0.444444444
Switzerland,Brazil,9,0.222222222,0.333333333,0.444444444
Brazil,Uruguay,76,0.486842105,0.263157895,0.25
Uruguay,Brazil,76,0.263157895,0.486842105,0.25
Brazil,Wales,10,0.8,0.1,0.1
Wales,Brazil,10,0.1,0.8,0.1
